SName;Building;BuildingPart;Gender;CntAgeCat1;CntAgeCat2;CntAgeCat3;CntAgeCat4;CntAgeCat5;CntAgeCat6;CntAgeCatNull;CntAgeAll
вул.Багряного І.;34;;female;0;1;0;1;2;1;0;5
вул.Багряного І.;34а;;female;0;0;1;0;1;1;0;3
вул.Багряного І.;35;;female;1;0;1;2;2;1;0;7
вул.Багряного І.;36;;female;0;0;0;0;0;1;0;1
вул.Багряного І.;39;;female;3;11;2;15;22;20;0;73
вул.Багряного І.;4;;female;0;1;0;0;1;1;0;3
вул.Багряного І.;46;;female;0;0;1;1;0;1;0;3
вул.Багряного І.;48;;female;0;0;0;1;0;2;0;3
вул.Багряного І.;49;;female;9;6;6;15;18;12;0;66
вул.Багряного І.;50;;female;0;1;0;1;0;1;0;3
вул.Багряного І.;52;;female;0;0;0;0;0;1;0;1
вул.Багряного І.;53;;female;6;11;6;27;28;24;0;102
вул.Багряного І.;59а;;female;0;0;0;0;0;0;0;0
вул.Багряного І.;6;;female;0;0;0;0;0;1;0;1
вул.Багряного І.;61;;female;0;0;0;1;1;1;0;3
вул.Багряного І.;63;;female;0;0;0;1;0;1;0;2
вул.Багряного І.;65;;female;0;0;0;1;1;0;0;2
вул.Багряного І.;7;;female;0;0;0;0;0;1;0;1
вул.Багряного І.;8;;female;0;1;0;2;4;1;0;8
вул.Багряного І.;8а;;female;0;0;0;0;0;1;0;1
вул.Багряного І.;9;;female;0;2;0;0;1;1;0;4
вул.Бажана М. (Рясне);1;;female;0;0;0;1;1;1;0;3
вул.Бажана М. (Рясне);10;;female;0;0;0;0;0;1;0;1
вул.Бажана М. (Рясне);11;;female;0;0;0;0;1;0;0;1
вул.Бажана М. (Рясне);12;;female;0;1;0;1;1;0;0;3
вул.Бажана М. (Рясне);12а;;female;0;0;0;0;1;1;0;2
вул.Бажана М. (Рясне);13;;female;0;0;0;1;1;1;0;3
вул.Бажана М. (Рясне);14;;female;0;0;0;0;1;1;0;2
вул.Бажана М. (Рясне);15;;female;0;0;0;1;1;0;0;2
вул.Бажана М. (Рясне);16;;female;1;0;0;0;1;0;0;2
вул.Бажана М. (Рясне);17;;female;1;0;0;2;1;0;0;4
вул.Бажана М. (Рясне);18;;female;1;1;0;1;0;0;0;3
вул.Бажана М. (Рясне);19;;female;0;0;0;1;1;1;0;3
вул.Бажана М. (Рясне);2;;female;0;0;0;0;1;0;0;1
вул.Бажана М. (Рясне);20;;female;0;0;0;1;1;1;0;3
вул.Бажана М. (Рясне);21;;female;0;0;0;0;0;0;0;0
вул.Бажана М. (Рясне);22;;female;2;0;0;1;2;0;0;5
вул.Бажана М. (Рясне);23;;female;2;0;0;1;1;0;0;4
вул.Бажана М. (Рясне);23а;;female;0;0;0;0;0;1;0;1
вул.Бажана М. (Рясне);24;;female;1;0;0;0;1;0;0;2
вул.Бажана М. (Рясне);25;;female;0;2;0;0;1;1;0;4
вул.Бажана М. (Рясне);26;;female;0;0;0;0;0;1;0;1
вул.Бажана М. (Рясне);27;;female;0;0;0;1;1;1;0;3
вул.Бажана М. (Рясне);28;;female;0;0;0;0;0;0;0;0
вул.Бажана М. (Рясне);29;;female;0;1;0;0;1;0;0;2
вул.Бажана М. (Рясне);3;;female;0;0;0;0;1;1;0;2
вул.Бажана М. (Рясне);30;;female;0;0;0;0;0;0;0;0
вул.Бажана М. (Рясне);32;;female;0;0;0;0;0;1;0;1
вул.Бажана М. (Рясне);33;;female;0;0;0;0;1;0;0;1
вул.Бажана М. (Рясне);34;;female;1;0;0;1;1;1;0;4
вул.Бажана М. (Рясне);35;;female;0;0;0;0;0;0;0;0
вул.Бажана М. (Рясне);37;;female;0;1;1;2;1;1;0;6
вул.Бажана М. (Рясне);39;;female;0;0;0;0;0;1;0;1
вул.Бажана М. (Рясне);3а;;female;0;0;0;2;0;0;0;2
вул.Бажана М. (Рясне);4;;female;1;0;0;1;2;1;0;5
вул.Бажана М. (Рясне);5;;female;1;0;0;1;1;0;0;3
вул.Бажана М. (Рясне);6;;female;0;1;2;5;2;0;0;10
вул.Бажана М. (Рясне);7;;female;0;0;1;0;1;1;0;3
вул.Бажана М. (Рясне);8;;female;0;0;0;0;0;1;0;1
вул.Бажана М. (Рясне);9;;female;0;0;0;0;1;0;0;1
вул.Базальтова;1;;female;0;0;0;0;0;2;0;2
вул.Базальтова;10;;female;0;0;1;0;1;1;0;3
вул.Базальтова;11;;female;0;0;1;0;1;0;0;2
вул.Базальтова;12;;female;0;0;0;0;0;0;0;0
вул.Базальтова;12а;;female;0;0;0;1;0;1;0;2
вул.Базальтова;13;;female;0;0;0;0;0;1;0;1
вул.Базальтова;14;;female;0;0;0;0;1;0;0;1
вул.Базальтова;15;;female;0;0;0;0;0;1;0;1
вул.Базальтова;16;;female;0;1;0;0;1;0;0;2
вул.Базальтова;16а;;female;0;0;0;0;1;1;0;2
вул.Базальтова;17;;female;0;0;0;1;1;0;0;2
вул.Базальтова;19;;female;1;1;1;1;1;1;0;6
вул.Базальтова;21;;female;0;0;0;0;0;0;0;0
вул.Базальтова;23;;female;0;1;0;1;0;1;0;3
вул.Базальтова;3;;female;0;0;0;0;2;1;0;3
вул.Базальтова;6;;female;0;0;0;2;0;0;0;2
вул.Базальтова;7;;female;0;0;0;2;2;2;0;6
вул.Базальтова;8;;female;1;1;0;1;1;1;0;5
вул.Базальтова;9;;female;0;0;0;0;1;1;0;2
вул.Базарна;10;;female;0;0;1;1;4;3;0;9
вул.Базарна;12;;female;0;2;0;3;0;3;0;8
вул.Базарна;28;;female;1;1;0;5;6;1;0;14
вул.Базарна;34;;female;0;1;0;6;6;8;0;21
вул.Базарна;36;;female;0;0;1;5;3;3;0;12
вул.Базарна;44;;female;1;1;1;4;4;5;0;16
вул.Базарна;50;;female;3;3;3;14;17;28;0;68
вул.Бакинська;1;;female;0;0;0;0;0;0;0;0
вул.Бакинська;10;;female;0;1;0;0;1;1;0;3
вул.Бакинська;11;;female;0;2;0;0;1;1;0;4
вул.Бакинська;12;;female;0;2;0;2;0;2;0;6
вул.Бакинська;13;;female;0;1;0;1;2;1;0;5
вул.Бакинська;14;;female;0;0;0;1;0;1;0;2
вул.Бакинська;15;;female;0;1;0;0;1;1;0;3
вул.Бакинська;16;;female;0;0;0;1;0;1;0;2
вул.Бакинська;17;;female;1;1;0;1;0;0;0;3
вул.Бакинська;17а;;female;0;0;0;0;1;0;0;1
вул.Бакинська;18;;female;0;0;0;0;1;0;0;1
вул.Бакинська;19;;female;0;0;0;0;1;2;0;3
вул.Бакинська;2;;female;1;0;0;1;1;0;0;3
вул.Бакинська;20;;female;1;1;0;1;0;1;0;4
вул.Бакинська;21;;female;0;0;0;0;1;0;0;1
вул.Бакинська;23;;female;1;0;0;1;1;0;0;3
вул.Бакинська;24;;female;0;0;0;0;0;0;0;0
вул.Бакинська;24а;;female;0;0;0;0;1;1;0;2
вул.Бакинська;25;;female;1;0;0;2;0;1;0;4
вул.Бакинська;25б;;female;0;0;0;0;1;0;0;1
вул.Бакинська;28;;female;0;3;0;0;2;1;0;6
вул.Бакинська;3;;female;0;0;0;1;0;1;0;2
вул.Бакинська;30;;female;0;1;1;2;1;0;0;5
вул.Бакинська;30а;;female;0;0;0;1;0;0;0;1
вул.Бакинська;3а;;female;1;0;0;1;1;0;0;3
вул.Бакинська;5;;female;0;0;0;0;1;0;0;1
вул.Бакинська;7;;female;0;0;1;0;1;1;0;3
вул.Бакинська;7а;;female;0;0;0;0;1;0;0;1
вул.Балабана М.;1;;female;1;1;0;0;2;2;0;6
вул.Балабана М.;10;;female;0;0;0;1;2;2;0;5
вул.Балабана М.;11;;female;0;2;0;3;2;5;0;12
вул.Балабана М.;12;;female;0;2;0;4;1;0;0;7
вул.Балабана М.;2;;female;0;1;2;1;3;1;0;8
вул.Балабана М.;20;;female;0;0;1;1;2;1;0;5
вул.Балабана М.;21;;female;2;0;0;6;7;3;0;18
вул.Балабана М.;22;;female;0;0;1;0;7;4;0;12
вул.Балабана М.;23;;female;0;1;0;2;4;3;0;10
вул.Балабана М.;24;;female;0;0;0;3;1;4;0;8
вул.Балабана М.;25;;female;1;2;2;3;8;8;0;24
вул.Балабана М.;27;;female;0;1;1;1;2;4;0;9
вул.Балабана М.;29;;female;2;0;1;2;4;1;0;10
вул.Балабана М.;3;;female;0;0;0;1;1;4;0;6
вул.Балабана М.;4;;female;1;3;0;3;4;3;0;14
вул.Балабана М.;6;;female;0;2;0;4;4;5;0;15
вул.Балабана М.;6а;;female;0;1;0;1;1;0;0;3
вул.Балабана М.;8;;female;1;1;1;3;5;2;0;13
вул.Балкова;10;;female;0;1;0;2;1;1;0;5
вул.Балкова;16;;female;1;0;0;1;0;1;0;3
вул.Балкова;18;;female;1;0;1;0;1;0;0;3
вул.Балкова;4;;female;0;1;0;0;1;1;0;3
вул.Балкова;6;;female;0;0;0;0;0;0;0;0
вул.Балкова;6а;;female;0;0;0;0;0;1;0;1
вул.Балтійська;1;;female;0;0;1;1;4;3;0;9
вул.Балтійська;10;;female;0;1;0;0;2;1;0;4
вул.Балтійська;11;;female;0;0;0;0;0;2;0;2
вул.Балтійська;12;;female;1;2;0;2;3;1;0;9
вул.Балтійська;14;;female;3;1;0;2;5;1;0;12
вул.Балтійська;15;;female;0;1;0;0;0;0;0;1
вул.Балтійська;15а;;female;0;0;0;0;0;0;0;0
вул.Балтійська;16;;female;0;0;0;1;2;0;0;3
вул.Балтійська;16а;;female;0;0;0;0;0;1;0;1
вул.Балтійська;17;;female;0;1;1;0;3;4;0;9
вул.Балтійська;18;;female;0;0;0;2;1;2;0;5
вул.Балтійська;19;;female;0;0;0;0;0;1;0;1
вул.Балтійська;2;;female;0;1;0;4;1;2;0;8
вул.Балтійська;20;;female;0;0;0;1;1;2;0;4
вул.Балтійська;21;;female;2;5;3;11;22;21;0;64
вул.Балтійська;22;;female;0;0;0;3;1;2;0;6
вул.Балтійська;24;;female;0;0;0;2;1;1;0;4
вул.Балтійська;25;;female;0;0;0;1;1;2;0;4
вул.Балтійська;25б;;female;0;0;0;1;0;0;0;1
вул.Балтійська;25в;;female;0;0;0;0;0;1;0;1
вул.Балтійська;25вл;;female;0;1;0;2;1;0;0;4
вул.Балтійська;26;;female;0;1;0;1;0;2;0;4
вул.Балтійська;27;;female;0;0;1;1;2;1;0;5
