SName;Building;BuildingPart;Gender;CntAgeCat1;CntAgeCat2;CntAgeCat3;CntAgeCat4;CntAgeCat5;CntAgeCat6;CntAgeCatNull;CntAgeAll
Антоновича В.;69;;female;0;0;0;1;2;1;0;4
Антоновича В.;7;;female;1;1;0;1;4;6;0;13
Антоновича В.;70;;female;0;0;0;0;3;0;0;3
Антоновича В.;72;;female;0;0;1;0;3;4;0;8
Антоновича В.;73;;female;0;0;0;0;4;1;0;5
Антоновича В.;74;;female;0;0;0;0;1;2;0;3
Антоновича В.;75;;female;0;1;0;1;0;1;0;3
Антоновича В.;76;;female;0;0;0;2;2;2;0;6
Антоновича В.;77;;female;1;1;0;2;1;3;0;8
Антоновича В.;78;;female;0;0;0;0;0;2;0;2
Антоновича В.;8;;female;0;3;0;0;3;3;0;9
Антоновича В.;81;;female;1;0;1;1;4;2;0;9
Антоновича В.;82;;female;0;1;0;2;0;2;0;5
Антоновича В.;83;;female;1;0;0;2;4;3;0;10
Антоновича В.;84;;female;0;0;1;0;2;0;0;3
Антоновича В.;85;;female;0;0;0;1;0;1;0;2
Антоновича В.;85а;;female;0;0;0;0;0;0;0;0
Антоновича В.;86;;female;0;0;0;0;0;1;0;1
Антоновича В.;87;;female;0;0;0;0;0;1;0;1
Антоновича В.;88;;female;0;0;0;0;0;1;0;1
Антоновича В.;89;;female;0;0;0;2;1;1;0;4
Антоновича В.;9;;female;0;1;0;3;4;4;0;12
Антоновича В.;93;;female;0;0;0;0;1;0;0;1
Антоновича В.;95.;;female;1;0;0;0;0;0;0;1
Антоновича В.;95вл;;female;0;0;0;0;1;0;0;1
Антоновича В.;99;;female;0;0;0;0;1;1;0;2
Аральська;1;;female;1;2;0;3;3;4;0;13
Аральська;10;;female;0;2;1;3;3;1;0;10
Аральська;12;;female;0;1;0;4;0;4;0;9
Аральська;14;;female;0;0;0;2;0;2;0;4
Аральська;15;;female;0;0;0;0;0;2;0;2
Аральська;17;;female;0;0;0;1;0;3;0;4
Аральська;19;;female;0;0;0;1;0;1;0;2
Аральська;2;;female;0;0;0;1;0;1;0;2
Аральська;21;;female;0;1;0;1;0;1;0;3
Аральська;23;;female;0;3;0;2;1;0;0;6
Аральська;3;;female;0;0;0;1;1;0;0;2
Аральська;4;;female;0;0;0;0;1;0;0;1
Аральська;5;;female;0;0;0;0;1;0;0;1
Аральська;6;;female;0;0;0;0;0;0;0;0
Аральська;7;;female;0;0;0;0;1;2;0;3
Аральська;7а;;female;0;0;0;1;0;2;0;3
Аральська;8;;female;0;1;1;1;2;2;0;7
Аральська;9;;female;0;1;0;0;0;0;0;1
Аркаса М.;10;;female;0;2;0;0;3;4;0;9
Аркаса М.;11;;female;0;0;0;3;2;2;0;7
Аркаса М.;12;;female;0;4;0;2;3;5;0;14
Аркаса М.;13;;female;0;0;0;1;5;6;0;12
Аркаса М.;14;;female;0;0;1;6;5;0;0;12
Аркаса М.;16;;female;0;1;0;0;1;3;0;5
Аркаса М.;16а;;female;0;3;0;2;0;1;0;6
Аркаса М.;18;;female;0;0;1;2;5;2;0;10
Аркаса М.;18а;;female;0;0;0;0;0;1;0;1
Аркаса М.;20;;female;0;2;0;4;5;4;0;15
Аркаса М.;4;;female;0;0;0;0;0;1;0;1
Аркаса М.;4а;;female;0;0;0;0;1;0;0;1
Аркаса М.;6;;female;0;2;1;2;2;1;0;8
Аркаса М.;7;;female;0;0;0;0;1;1;0;2
Аркаса М.;8;;female;0;1;0;4;1;3;0;9
Аркаса М.;9;;female;0;0;0;0;0;1;0;1
Арсенальська;5;;female;0;0;0;0;1;0;0;1
Архипенка О.;10;;female;0;0;1;1;2;3;0;7
Архипенка О.;11;;female;0;0;0;1;2;5;0;8
Архипенка О.;12;;female;1;1;1;2;3;1;0;9
Архипенка О.;14;;female;0;0;0;1;3;2;0;6
Архипенка О.;2;;female;0;0;1;5;0;0;1;7
Архипенка О.;22;;female;0;0;1;1;5;3;0;10
Архипенка О.;24;;female;0;0;0;0;0;3;0;3
