,ID,NAME,ADDRESS,latitude,longitude,class
73,74,ЗДО № 55,"вул. Донецька, 22 ",49.853299,24.035913,kindergarden
74,75,ЗДО № 57,"вул. Ю.Липи, 33 ",49.861772,24.012738,kindergarden
75,76,ЗДО № 6,"вул. Левандівська, 30",49.842391,23.979295,kindergarden
76,77,ЗДО № 69,"вул. Наукова,8а",49.803477,24.002380,kindergarden
77,78,ЗДО № 7,"вул. Туган-Барановського,6",49.836039,24.036968,kindergarden
78,79,ЗДО № 70,"вул.Максимовича, 2",49.791950,24.017367,kindergarden
79,80,ЗДО № 71,"вул. Туркменська,23",49.856090,24.046702,kindergarden
80,81,ЗДО № 73,"вул. Бойчука,7",49.812146,23.992855,kindergarden
81,82,ЗДО № 75,"вул. Виговського, 75",49.814110,23.977734,kindergarden
82,83,ЗДО № 78,"вул. Чукаріна, 9",49.796414,24.039980,kindergarden
83,84,ЗДО № 86,"вул. Садова, 20",49.819863,23.985090,kindergarden
84,85,ЗДО № 88,"вул. Некрасова, 37а",49.836139,24.052641,kindergarden
85,86,ЗДО № 89,"вул. Ярошинської,15",49.821369,24.077030,kindergarden
86,87,ЗДО № 92,"вул. Карпатська,12",49.829860,24.039543,kindergarden
87,88,ЗДО № 93,"вул. Генерала Чупринки,94",49.826398,24.002793,kindergarden
88,89,ЗДО № 94,"вул. Яцкова, 15 ",49.847274,24.003065,kindergarden
89,90,ЗДО № 95,"вул. Гайдамацька, 2а ",49.850799,24.028471,kindergarden
90,91,ЗДО № 96,"вул. Клепарівська, 31а ",49.847249,24.012068,kindergarden
91,92,ДНЗ«Барвінок»,"вул.Шафарика,15",49.815404,24.071462,kindergarden
92,93,Дошкільний навчальний заклад ясла-садок № 166 ком,"вул. Кульчицької, 10а",49.815330,23.974372,kindergarden
93,94,Дошкільний навчальний заклад № 18,"вул. Гіпсова,36 б",49.824902,23.992935,kindergarden
94,95,Дошкільний навчальний заклад № 67,"вул. Зелена, 95а",49.824777,24.045364,kindergarden
95,96,НВК «Арніка» (дошкільне відділення),"вул.Комарова, 12",49.842705,24.000966,kindergarden
96,97,ДНЗ  «Веселка»,"вул. Китайська, 6-а",49.819464,24.077224,kindergarden
97,98,ПШ «Дзвіночок» (дошкільне відділення),"вул. Некрасова, 31",49.836688,24.050168,kindergarden
