lat,long,number_of_people
49.83433725,24.00607259,8
49.82845594,23.99576038,12
49.82827684,23.99531199,6
49.82738241,23.99489490,8
49.83417425,24.00603032,19
49.82747030,23.99402774,17
49.82729485,23.99372675,23
49.82662161,23.99251936,122
49.82636983,23.99207809,8
49.83428190,24.00592838,16
49.82601658,23.99147119,74
49.83409608,24.00583252,25
49.83424981,24.00571027,13
49.83402165,24.00564375,20
49.83411519,24.00550442,4
49.83366038,24.00589247,13
49.83413130,24.00513169,31
49.83384595,24.00517226,30
49.83390281,24.00495713,24
49.83377370,24.00498788,29
49.83378425,24.00464182,20
49.83370524,24.00481831,30
49.83372726,24.00420300,1
49.83339548,24.00485135,30
49.83371153,24.00372199,4
49.83347724,24.00438663,22
49.83344367,24.00402672,20
49.83334337,24.00415540,30
49.83336217,24.00372650,21
49.83320579,24.00361505,28
49.83315532,24.00331906,2
49.83293964,24.00315404,10
49.83257254,24.00311006,23
49.83285911,24.00302122,19
49.83454587,24.00662545,12
49.83276505,24.00285281,26
49.83246853,24.00221704,7
49.83241719,24.00202125,4
49.83240465,24.00184315,1
49.83176911,24.00155434,1
49.83141863,24.00125870,2
49.83194693,24.00104004,17
49.83131585,24.00065158,28
49.83164922,24.00092076,42
49.83448704,24.00646589,15
49.83158737,24.00070013,9
49.83096235,24.00002278,9
49.83140686,24.00038996,33
49.83081413,23.99994254,10
49.83128391,24.00017752,3
49.83121019,24.00004732,6
49.83046810,23.99926729,8
49.83102337,23.99970892,15
49.83017510,23.99907560,7
49.83442427,24.00668235,22
49.83105989,23.99906028,3
49.83069651,23.99911114,17
49.83017285,23.99864094,5
49.83054891,23.99884611,4
49.82999628,23.99845899,8
49.83049954,23.99872280,10
49.82980509,23.99818623,17
49.83028033,23.99841617,3
49.83442062,24.00629019,14
49.82962926,23.99769435,16
49.83006400,23.99811800,9
49.82945588,23.99739311,14
49.83016920,23.99773566,5
49.82924933,23.99721227,4
49.82991892,23.99779398,4
49.82923829,23.99700488,3
49.82985285,23.99765568,4
49.82916778,23.99688120,4
49.83426810,24.00626837,21
49.82900034,23.99658912,2
49.82891885,23.99644754,3
49.82852379,23.99586893,6
49.82622880,24.05186665,24
49.82659981,24.05279783,16
49.82676958,24.05304771,11
49.82687092,24.05318819,9
49.82704444,24.05298364,5
49.82723602,24.05313723,8
49.82731411,24.05337503,3
49.82609903,24.05216337,6
49.82743209,24.05353283,4
49.82756559,24.05372555,8
49.82629950,24.05199938,5
49.82618715,24.05225761,5
49.82646933,24.05222533,2
49.82631552,24.05241801,1
49.82678626,24.05208519,9
49.82639429,24.05251878,10
49.82678058,24.05256706,4
49.81592924,24.00698937,18
49.81536640,24.00703565,21
49.81565787,24.00688422,29
49.81499181,24.00689810,30
49.81539512,24.00678533,19
49.81511931,24.00668746,22
49.81473114,24.00624977,17
49.81446958,24.00647448,27
49.81676110,24.00720618,2
49.81653891,24.00721522,22
49.81516732,24.00798191,5
49.81620488,24.00708977,18
49.81511505,24.00795164,1
49.84148090,24.03494420,4
49.83037465,24.03558871,13
49.82988349,24.03833916,12
49.83033608,24.03577897,18
49.83028551,24.03599400,14
49.83055901,24.03456347,7
49.83005161,24.03702126,19
49.83000909,24.03720360,11
49.82996799,24.03737417,11
49.82990526,24.03763618,11
49.83057799,24.03552652,7
49.82986357,24.03781665,10
49.82980474,24.03807517,37
49.83049942,24.03502738,19
49.83053691,24.03570742,15
49.83046502,24.03518641,16
49.83041642,24.03540753,19
49.82993384,24.03813177,10
49.83534330,24.01274719,18
49.83553933,24.01274444,6
49.83567110,24.01274241,31
49.82305883,23.97904151,3
49.82334252,23.97943930,22
49.82314574,23.97892322,3
49.82408470,23.97830223,3
49.82385040,23.97826293,8
49.82397758,23.97845097,13
49.82364906,23.97829579,7
49.82378741,23.97872262,5
49.82354778,23.97867398,2
49.82374884,23.97900246,10
49.87900177,24.04368944,3
49.87872800,24.04359029,1
49.87875164,24.04445349,3
49.87871728,24.04463196,11
49.87872557,24.04493077,2
49.87874297,24.04511509,2
49.87873026,24.04536368,9
49.87873342,24.04560457,6
49.87864112,24.04332119,8
49.87840422,24.04404297,18
49.83143186,23.97533649,6
49.83083973,23.97557038,3
49.83099776,23.97598953,2
49.83067097,23.97558348,4
49.83097385,23.97618171,5
49.83078550,23.97595888,3
49.83047088,23.97598180,11
49.83075698,23.97626434,5
49.83026659,23.97609039,4
49.83053471,23.97644510,10
49.83005755,23.97629270,4
49.82985765,23.97649131,5
49.82966934,23.97666271,4
49.82948138,23.97683370,5
49.82934133,23.97694448,5
49.83005736,23.97661678,19
49.83134865,23.97541252,7
49.82912356,23.97716582,6
49.82992861,23.97676763,4
49.82877147,23.97754868,4
49.82844459,23.97722908,13
49.82971757,23.97696234,12
49.82831785,23.97766342,3
49.82950876,23.97723319,142
49.83153994,23.97497106,6
49.82791837,23.97849146,9
49.82780276,23.97865166,7
49.82859284,23.97799835,116
49.82769016,23.97877596,6
49.82761599,23.97886923,2
49.82811346,23.97862266,194
49.82769613,23.97916911,2
49.83127353,23.97500687,1
49.82768874,23.97949947,5
49.82759151,23.97963041,5
49.82743516,23.97960172,4
49.83115802,23.97582515,2
49.83108627,23.97537690,17
49.83107159,23.97593037,4
49.87713087,23.94403678,6
49.87790463,23.94462884,3
49.87796076,23.94438237,3
49.87812996,23.94473610,9
49.87806762,23.94442975,5
49.87835884,23.94478911,3
49.87827694,23.94451678,4
49.87849331,23.94491137,4
49.87837172,23.94456073,8
49.87873341,23.94498372,5
49.87857996,23.94465205,4
49.87714642,23.94439614,2
49.87891072,23.94504835,6
49.87870444,23.94470459,2
49.87923253,23.94535973,8
49.87910347,23.94479341,9
49.87977103,23.94539920,5
49.87943129,23.94501393,6
49.87988334,23.94550509,4
49.87951885,23.94504911,4
49.88007053,23.94555094,3
49.87974065,23.94515113,5
49.87725393,23.94396047,5
49.88029018,23.94565355,2
49.88036028,23.94568624,5
49.88004356,23.94528057,2
49.88051954,23.94580229,7
49.88013996,23.94531652,1
49.88035185,23.94540112,7
49.88057874,23.94549917,4
49.87740226,23.94443354,10
49.87745238,23.94416763,6
49.87758474,23.94450748,11
49.87763886,23.94424354,3
49.87783238,23.94459616,1
49.87774457,23.94428990,1
49.83614319,24.08337470,6
49.83587123,24.08365448,5
49.83619742,24.08282201,6
49.83592885,24.08350613,3
49.83634616,24.08259096,1
49.83597774,24.08315406,2
49.83649465,24.08203857,9
49.83612427,24.08262475,3
49.83620434,24.08245632,10
49.83632243,24.08216490,1
49.83640833,24.08200720,8
49.83519087,24.08492127,6
49.83591555,24.08384092,2
49.83566115,24.08412738,9
49.83598194,24.08372927,10
49.83580322,24.08383261,3
49.84588353,24.01899778,19
49.84608513,24.01878697,16
49.84739527,24.01897372,30
49.84793974,24.01910686,42
49.84807919,24.01913798,27
49.84878111,24.01931500,28
49.84934505,24.01935118,131
49.82852978,23.96145363,2
49.82799753,23.96108761,7
49.82756888,23.96130889,7
49.82767953,23.96109791,6
49.82722403,23.96117486,12
49.82747496,23.96105464,2
49.82689554,23.96114564,5
49.82722850,23.96101541,6
49.82673479,23.96106314,7
49.82710610,23.96098637,4
49.82630068,23.96123347,6
49.82877436,23.96138678,6
49.82684597,23.96089454,5
49.82620119,23.96100246,1
49.82613182,23.96104014,4
49.82639924,23.96085249,5
49.82583389,23.96112138,9
49.82598885,23.96069603,9
49.82830340,23.96160305,11
49.82587333,23.96069222,11
49.82809790,23.96135710,3
49.82797525,23.96130729,9
49.84639363,24.02369997,11
49.84651322,24.02292074,7
49.84641994,24.02249083,22
49.84652401,24.02267222,14
49.84648233,24.02391862,13
49.84654723,24.02187164,9
49.84645824,24.02127115,34
49.84655371,24.02167704,26
49.84647520,24.02110373,22
49.84654549,24.02141117,11
49.84653836,24.02081018,42
49.84656410,24.02069836,19
49.84663930,24.02037750,23
49.84640091,24.02349341,15
49.84648968,24.02368306,27
49.84661726,24.02354830,28
49.84650631,24.02314444,30
49.85278901,24.05517874,11
49.85234517,24.05769870,6
49.85245979,24.05862247,5
49.85204246,24.05610464,6
49.85212811,24.05589933,3
49.81827533,24.00517242,17
49.81750409,24.00435491,8
49.81722420,24.00451662,2
49.81731643,24.00423473,14
49.81708608,24.00408643,19
49.81688434,24.00432800,3
49.81687646,24.00395584,7
49.81664726,24.00422392,16
49.81665510,24.00380301,9
49.81645115,24.00413291,1
49.81837359,24.00496110,11
49.81643463,24.00372353,9
49.81583613,24.00387749,124
49.81603059,24.00338574,11
49.81579186,24.00322332,4
49.81538811,24.00373762,27
49.81559217,24.00308967,6
49.81521758,24.00369028,6
49.81536103,24.00293367,8
49.81808212,24.00504126,5
49.81517509,24.00280395,4
49.81504857,24.00355873,18
49.81492380,24.00269471,7
49.81476611,24.00360093,7
49.81492581,24.00300770,18
49.81825954,24.00452999,6
49.81750822,24.00480540,8
49.81770062,24.00448182,10
49.81732129,24.00457742,12
49.85425898,24.01647582,5
49.85426417,24.01668995,11
49.85388545,24.01868192,10
49.85393828,24.01884403,6
49.85452336,24.01515145,2
49.85387570,24.01908570,4
49.85383263,24.01925086,9
49.85433731,24.01792836,94
49.85427897,24.01541049,6
49.85410956,24.01855565,9
49.85417608,24.01892995,4
49.85437807,24.01555613,9
49.85428627,24.01604663,26
49.83460938,24.01574572,16
49.83482152,24.01172544,12
49.83460413,24.01552448,19
49.83482638,24.01137111,35
49.83459760,24.01531191,12
49.83471372,24.01978454,55
49.83482653,24.01120117,20
49.83459410,24.01517834,28
49.83482647,24.01098124,10
49.83458820,24.01484772,17
49.83482629,24.01071537,26
49.83457706,24.01462777,18
49.83489054,24.00917953,17
49.83501975,24.00836824,21
49.83457874,24.01358073,28
49.83458014,24.01330472,12
49.83458033,24.01314153,39
49.83458416,24.01281206,18
49.83458621,24.01256535,6
49.83458886,24.01231526,16
49.83474580,24.01954508,16
49.83459140,24.01206830,40
49.83459593,24.01183680,21
49.83459720,24.01155511,20
49.83461564,24.01075303,41
49.83462347,24.01050597,43
49.83465710,24.01786185,25
49.83462621,24.01042554,31
49.83463777,24.01009777,28
49.83467222,24.00910919,18
49.83468129,24.00883477,14
49.83477162,24.01934327,10
49.83469017,24.00858333,28
49.83471432,24.00808795,37
49.83472740,24.00781446,14
49.83474076,24.00755033,52
49.83465478,24.01761917,17
49.83476822,24.00688933,25
49.83483267,24.00669082,7
49.83488745,24.00651630,21
49.83506428,24.00595665,30
49.83512222,24.00580089,27
49.83525243,24.00545551,38
49.83550652,24.00496847,18
49.83464609,24.01733252,8
49.84548064,23.98271002,14
49.84508687,23.98154762,3
49.84487614,23.98162120,20
49.84506319,23.98187598,14
49.84511458,23.98223470,16
49.84537875,23.98253247,15
49.84485676,23.98270504,11
49.84463510,23.98278797,7
49.84527652,23.98278233,5
49.84525702,23.98218634,4
49.84507710,23.98285282,10
49.84520328,23.98182701,7
49.84487361,23.98292625,2
49.84522238,23.98147980,10
49.84467647,23.98300011,10
49.83943862,24.02699862,31
49.83958630,24.02682492,1
49.86228157,23.96314084,4
49.86209183,23.96314252,4
49.86194372,23.96265524,3
49.86164788,23.96301253,5
49.86228231,23.96333359,7
49.86264812,23.96335901,1
49.86170043,23.96320444,4
49.86157684,23.96318175,10
49.86243279,23.96316374,1
49.86136718,23.96311627,1
49.82883518,24.00316746,41
49.84607261,24.04236169,2
49.84555558,24.04196577,12
49.84512962,24.04223791,18
49.84537923,24.04196680,9
49.84517054,24.04197699,13
49.84490225,24.04222090,5
49.84497435,24.04197731,9
49.84620837,24.04201502,16
49.84567946,24.04217150,2
49.84598902,24.04197099,21
49.84557916,24.04224015,2
49.84584811,24.04196771,24
49.84545292,24.04223034,9
49.84567122,24.04196378,9
49.84524413,24.04224308,10
49.85812883,24.02810489,25
49.85829225,24.02837242,38
49.82834858,24.04445296,21
49.82848933,24.04213335,62
49.82828407,24.04284054,32
49.82843850,24.04236342,19
49.85135689,24.01543853,23
49.85115393,24.01646393,304
49.85155359,24.01560346,16
49.85138954,24.01588005,16
49.85140577,24.01608851,24
49.83435447,24.08389062,6
49.83425691,24.08406962,7
49.83411169,24.08480250,12
49.83394915,24.08534043,3
49.83342699,24.08747459,2
49.83434799,24.08307572,1
49.83422804,24.08340584,6
49.85076646,24.05316566,2
49.85103240,24.05350408,5
49.82354917,23.97417594,118
49.82415419,23.97387316,4
49.82426098,23.97377267,4
49.82438730,23.97364841,3
49.82462776,23.97341498,4
49.82351076,23.97450444,9
49.82475903,23.97328878,10
49.82489510,23.97315302,6
49.82534643,23.97299179,4
49.82479380,23.97297432,126
49.82373037,23.97430331,2
49.85456895,24.05426054,2
49.85449179,24.05575374,6
49.85479754,24.05321618,1
49.85451513,24.05499853,1
49.85468552,24.05453319,5
49.85455796,24.05534782,3
49.85454028,24.05547137,8
49.82293031,24.00524201,6
49.82172521,24.00393803,3
49.82225165,24.00466371,9
49.82138530,24.00369291,3
49.82186743,24.00409325,4
49.82279898,24.00510682,4
49.82266947,24.00500504,4
49.82251360,24.00465214,1
49.82251818,24.00488173,10
49.82218783,24.00433581,1
49.82240039,24.00479171,2
49.80532461,24.03999327,11
49.80347476,24.05162296,7
49.80330545,24.05186172,3
49.80330084,24.05204595,4
49.80335459,24.05287735,7
49.80325108,24.05304322,5
49.80564555,24.04037922,4
49.80292190,24.05307606,5
49.80302421,24.05356910,6
49.80242450,24.05584100,7
49.80245427,24.05609028,4
49.80514975,24.04009170,3
49.80537658,24.04037979,4
49.80468054,24.04000663,4
49.80492332,24.04029401,5
49.80437749,24.03994081,8
49.80422519,24.03994927,6
49.80470862,24.04027755,5
49.80668228,24.04018946,4
49.80397682,24.03994900,3
49.80375434,24.03997197,7
49.80437651,24.04033042,5
49.80365069,24.03991148,4
49.80337514,24.03990493,4
49.80401476,24.04030659,5
49.80326453,24.03991516,12
49.80385210,24.04043440,5
49.80295528,24.03999855,3
49.80359637,24.04048439,3
49.80243755,24.04023204,1
49.80317729,24.04026208,8
49.80289662,24.04031393,3
49.80199026,24.04070310,7
49.80243409,24.04054568,4
49.80194763,24.04152138,6
49.80229438,24.04049100,4
49.80608689,24.04018759,1
49.80243221,24.04093190,4
49.80245957,24.04126536,7
49.80255131,24.04202596,1
49.80628260,24.04038139,2
49.80253157,24.04262795,7
49.80164427,24.04746063,11
49.80255190,24.04316503,9
49.80153181,24.04798674,163
49.80181579,24.04863645,11
49.80255748,24.04365181,1
49.80302676,24.04381585,9
49.80596277,24.04013894,2
49.80270025,24.04424174,4
49.80319225,24.04749218,8
49.80327791,24.04763072,4
49.80543402,24.04013534,6
49.80324756,24.04862063,5
49.80307552,24.04993547,11
49.80587675,24.04035935,2
49.80300724,24.05025984,8
49.80353930,24.05119844,18
49.80330756,24.05126045,12
49.84375789,24.07143066,3
49.84418228,24.07248642,1
49.84386500,24.07172119,4
49.84416549,24.07221135,2
49.84452000,24.07281323,5
49.84431060,24.07232527,3
49.84445728,24.07244006,1
49.84511376,24.07306406,5
49.84469953,24.07257444,5
49.84538732,24.07328405,5
49.84493845,24.07277119,2
49.84544057,24.07349119,5
49.84567009,24.07404294,1
49.84530126,24.07269243,5
49.84571091,24.07414158,1
49.84579421,24.07434470,5
49.84556456,24.07290894,3
49.84559676,24.07336236,10
49.84624614,24.07570681,3
49.84573077,24.07370501,2
49.84346868,24.07118285,3
49.84575741,24.07376943,7
49.84630421,24.07586537,1
49.84633177,24.07594744,3
49.84592321,24.07413765,2
49.84640978,24.07607049,6
49.84618870,24.07457189,25
49.84612475,24.07479347,4
49.84364194,24.07089586,4
49.84620642,24.07492489,2
49.84631810,24.07513246,3
49.84372982,24.07109759,4
49.84372169,24.07133614,8
49.86731832,24.04452790,2
49.86798790,24.04550456,17
49.86808716,24.04472248,3
49.86809992,24.04600486,10
49.86810438,24.04622555,5
49.86809838,24.04672797,8
49.86779395,24.04496057,5
49.86808221,24.04495004,2
49.86767693,24.04482116,5
49.86828707,24.04502858,9
49.86782014,24.04476452,1
49.84082747,24.02944445,25
49.84072190,24.02899230,11
49.84963245,24.08424430,6
49.85014104,24.08476467,3
49.85055685,24.08467004,4
49.85035206,24.08480118,9
49.85069659,24.08446555,5
49.85051312,24.08496865,2
49.85084275,24.08445906,2
49.85067911,24.08503593,1
49.85092525,24.08472817,3
49.85080026,24.08516388,12
49.85119545,24.08468825,1
49.84952138,24.08484898,28
49.85095054,24.08538065,5
49.85131762,24.08480225,4
49.85121481,24.08511375,1
49.85158174,24.08479217,8
49.85141747,24.08524947,3
49.85157967,24.08531121,10
49.85305302,24.08509958,6
49.85167460,24.08605238,1
49.84995992,24.08441250,5
49.85338949,24.08545384,6
49.84980022,24.08475175,2
49.85009739,24.08445876,4
49.84993064,24.08465791,3
49.85027360,24.08439711,4
49.84999031,24.08499710,2
49.85044905,24.08445430,6
49.86308094,24.03352110,8
49.86354146,23.96350237,6
49.86386259,23.96367238,6
49.86579019,23.96388760,280
49.86391019,23.96393128,10
49.86698116,23.96414479,136
49.86407335,23.96371985,2
49.86722134,23.96422453,95
49.86417820,23.96373834,2
49.86803018,23.96555406,34
49.86431159,23.96386335,4
49.86428350,23.96409261,3
49.86490372,23.96401247,4
49.86512425,23.96429207,6
49.86534109,23.96425368,5
49.86563241,23.96415397,1
49.86416648,23.96357294,8
49.86583684,23.96420637,10
49.86607789,23.96425678,3
49.86601151,23.96481405,8
49.86353036,23.96387932,5
49.86367835,23.96363366,3
49.86377534,23.96364074,4
49.86523084,23.96373950,519
49.84246010,24.09293325,4
49.84216475,24.09163780,3
49.84361999,24.09359010,4
49.84234681,24.09160128,1
49.84248871,24.09155817,2
49.84234383,24.09358216,2
49.84214546,24.09204619,2
49.84155606,24.09146433,4
49.84234394,24.09243895,8
49.84183296,24.09160133,2
49.84240986,24.09270123,4
49.84435702,24.02231016,37
49.81704590,24.00493650,13
49.81672028,24.00485815,6
49.81647376,24.00474743,1
49.81599437,24.00468001,127
49.81792299,24.00541815,3
49.81550828,24.00432781,6
49.81534820,24.00430795,4
49.81526067,24.00426603,4
49.81500600,24.00411967,4
49.81482026,24.00408689,7
49.81761131,24.00531306,12
49.81736400,24.00517021,4
49.81720482,24.00507281,5
49.84864461,23.92406292,5
49.84782945,23.92499122,4
49.85041584,23.92285024,4
49.85048432,23.92250568,2
49.85093651,23.92240670,5
49.84829197,23.92461099,5
49.84835768,23.92539010,2
49.84900668,23.92745801,5
49.84941060,23.92701340,7
49.85087275,23.92618627,1
49.85101909,23.92614129,2
49.85085621,23.92646856,7
49.85103482,23.92641107,6
49.84971532,23.93071446,2
49.84931932,23.93082775,6
49.85087404,23.92959004,3
49.84396777,23.94328334,3
49.84475978,23.94027072,8
49.84483115,23.93985881,8
49.84486856,23.93956161,6
49.84507610,23.93934398,5
49.84387031,23.94047289,2
49.84464540,23.93921955,7
49.84460628,23.93897634,2
49.84466342,23.93872048,5
49.84482940,23.93855424,3
49.84429878,23.95037207,2
49.84460766,23.93779589,10
49.84476839,23.93739934,7
49.84529170,23.93699048,2
49.84529175,23.93650217,3
49.84405170,23.94012033,6
49.84504340,23.93656189,7
49.84529112,23.93476664,1
49.84529359,23.93463945,5
49.84538224,23.93421087,4
49.84452174,23.95013404,12
49.84526739,23.93364785,5
49.84519925,23.93311733,7
49.84531647,23.93285707,6
49.84525031,23.93220338,11
49.84568003,23.93204156,10
49.84407848,23.93983402,1
49.84568834,23.93170209,6
49.84604598,23.93198798,5
49.84458675,23.94993981,6
49.84410834,23.93945879,14
49.84417263,23.93917204,15
49.84393098,23.95147377,9
49.84463623,23.94963291,7
49.84464223,23.94916514,9
49.84447240,23.94876285,5
49.84406785,23.93805679,7
49.84465562,23.94834165,7
49.84445014,23.93772191,7
49.84370212,23.94154345,6
49.84459693,23.94817014,2
49.84449522,23.93736355,2
49.84465571,23.94793568,2
49.84455676,23.93707984,4
49.84464266,23.94763957,9
49.84450033,23.93678807,3
49.84475425,23.94740286,3
49.84489869,23.93643902,5
49.84467459,23.94721229,1
49.84503345,23.93535669,1
49.84412613,23.95147313,8
49.84470478,23.94690856,6
49.84508764,23.93468153,8
49.84474253,23.94666029,3
49.84505678,23.93444763,9
49.84475816,23.94635796,6
49.84483241,23.93425592,6
49.84498068,23.94606196,6
49.84504171,23.93403951,4
49.84513203,23.94638335,8
49.84491754,23.93370509,2
49.84345154,23.94144416,5
49.84520317,23.94534109,4
49.84506223,23.93358953,1
49.84503267,23.94514357,5
49.84506858,23.93327425,8
49.84490108,23.94484279,2
49.84460122,23.93284390,8
49.84470566,23.94440316,2
49.84473212,23.93230025,7
49.84471365,23.94409075,3
49.84442482,23.94400875,4
49.84531583,23.93088508,1
49.84460870,23.94407244,5
49.84540324,23.93045439,11
49.84428746,23.94397135,4
49.84544992,23.93002776,15
49.84420594,23.94372368,4
49.84543085,23.92973136,7
49.84421769,23.94337164,1
49.84570188,23.92937374,11
49.84386206,23.94114266,8
49.84418685,23.94300473,8
49.84420214,23.94242835,5
49.84431516,23.94214253,4
49.84419915,23.94190646,5
49.84402179,23.95080789,4
49.84425924,23.94174746,3
49.84426645,23.94168265,3
49.84428471,23.94133565,1
49.84437478,23.94089920,2
49.84435408,23.94100434,7
49.84394169,23.94074413,3
49.84452077,23.94086889,1
49.84486732,23.94076335,8
49.84451247,23.94020151,2
49.85722208,24.01021351,10
49.85704534,24.01044981,6
49.85732140,24.00995310,5
49.85737283,24.00973174,8
49.85704140,24.01167139,4
49.85724901,24.01107054,6
49.85703292,24.01139960,7
49.85723516,24.01073709,4
49.85707136,24.01112329,2
49.85722529,24.01047019,4
49.85707125,24.01098067,1
49.81780302,24.05343443,330
49.81479801,24.05443241,386
49.81749189,24.05164297,418
49.81502791,24.05494442,14
49.81622221,24.05380915,8
49.81544807,24.05424684,2
49.81520806,24.05435194,7
49.85670449,24.03265428,7
49.87691148,23.94675090,7
49.87690281,23.94685095,5
49.87717014,23.94689588,17
49.87704341,23.94703838,5
49.87730545,23.94700140,2
49.87744618,23.94712202,3
49.87743169,23.94727114,3
49.87305706,23.93661769,4
49.87255963,23.93845393,7
49.87276135,23.93874267,3
49.87251262,23.93876147,9
49.87236451,23.93999567,4
49.87279296,23.93721989,4
49.87276964,23.93755506,4
49.87249026,23.93915559,4
49.87261833,23.93822627,8
49.84933170,23.96896358,21
49.84946745,23.96831732,10
49.84907854,23.96925326,3
49.84907825,23.96913678,6
49.84907282,23.96889321,5
49.84910590,23.96874431,4
49.83348266,23.99138854,6
49.83342470,23.99173542,7
49.83329399,23.99215770,7
49.83312434,23.99158795,2
49.83307071,23.99198858,8
49.83209994,23.99290366,156
49.83124961,23.99348752,115
49.83394891,23.99143332,9
49.83314461,23.99224872,16
49.83381877,23.99152578,8
49.83366591,23.99152234,6
49.85635852,24.04367157,3
49.85733950,24.04350832,4
49.85697178,24.04344290,3
49.85660412,24.04373113,5
49.85622019,24.04378868,3
49.84564870,24.08463526,13
49.84166623,24.08704272,3
49.84186682,24.08704055,3
49.84210019,24.08696275,3
49.84247133,24.08684841,24
49.84270337,24.08681950,15
49.84080383,24.08635473,6
49.84298067,24.08664704,3
49.84312830,24.08653220,4
49.84513194,24.08484068,1
49.84536715,24.08491597,8
49.84594351,24.08514020,3
49.84664072,24.08470447,5
49.84583614,24.08514945,2
49.84096253,24.08656497,1
49.84698881,24.08459834,1
49.84117824,24.08670654,2
49.84144141,24.08674781,4
49.83712448,24.03647842,29
49.83745179,24.03612363,11
49.83727911,24.03641367,16
49.83748923,24.03534709,13
49.83751094,24.03570331,5
49.83735358,24.03577482,19
49.83763430,24.03595745,9
49.83728146,24.03599912,8
49.83771815,24.03602705,23
49.83719629,24.03625418,19
49.83735229,24.03697236,7
49.83210777,24.01591820,91
49.83234602,24.01599987,20
49.83208950,24.01640529,78
49.83314564,24.01460320,14
49.83291913,24.01454340,6
49.83300155,24.01477562,26
49.83277391,24.01474225,47
49.83294296,24.01484507,18
49.83266136,24.01486905,18
49.83274961,24.01507623,26
49.80090869,24.01975402,8
49.79963850,24.01961213,291
49.80138813,24.01977437,1
49.80123903,24.01981217,5
49.80109533,24.01967695,5
49.85824686,24.05945128,25
49.85730596,24.05869176,16
49.85734033,24.05901850,7
49.85755059,24.05903809,10
49.85779793,24.05909979,16
49.85804834,24.05916416,19
49.85803634,24.05893897,10
49.85801659,24.05975736,11
49.85768807,24.05974219,17
49.85745573,24.05968925,6
49.85713458,24.05989154,13
49.85788080,24.06058758,9
49.85763477,24.06048373,14
49.85739263,24.06043619,12
49.85781882,24.05888191,9
49.85716213,24.06037018,19
49.85712712,24.06085905,15
49.85732285,24.06089599,11
49.85751662,24.06092886,16
49.85763277,24.05882797,7
49.85744393,24.05872895,6
